temperature,time,stoichiometry,production_rate_(g/hr),yield,priority,round
120,39,0.455,PENDING,PENDING,0.0,PENDING
120,39,0.43,PENDING,PENDING,0.0,PENDING
120,39,0.405,PENDING,PENDING,0.0,PENDING
120,39,0.38,PENDING,PENDING,0.0,PENDING
120,39,0.355,PENDING,PENDING,0.0,PENDING
120,39,0.33,PENDING,PENDING,0.0,PENDING
120,37,0.655,PENDING,PENDING,0.0,PENDING
120,37,0.63,PENDING,PENDING,0.0,PENDING
120,37,0.605,PENDING,PENDING,0.0,PENDING
120,37,0.58,PENDING,PENDING,0.0,PENDING
120,37,0.555,PENDING,PENDING,0.0,PENDING
120,37,0.53,PENDING,PENDING,0.0,PENDING
120,37,0.505,PENDING,PENDING,0.0,PENDING
120,37,0.48,PENDING,PENDING,0.0,PENDING
120,37,0.455,PENDING,PENDING,0.0,PENDING
120,37,0.43,PENDING,PENDING,0.0,PENDING
120,37,0.405,PENDING,PENDING,0.0,PENDING
120,37,0.38,PENDING,PENDING,0.0,PENDING
120,37,0.355,PENDING,PENDING,0.0,PENDING
120,37,0.33,PENDING,PENDING,0.0,PENDING
120,35,0.655,PENDING,PENDING,0.0,PENDING
120,35,0.63,PENDING,PENDING,0.0,PENDING
120,35,0.605,PENDING,PENDING,0.0,PENDING
120,35,0.58,PENDING,PENDING,0.0,PENDING
120,35,0.555,PENDING,PENDING,0.0,PENDING
120,35,0.53,PENDING,PENDING,0.0,PENDING
120,35,0.505,PENDING,PENDING,0.0,PENDING
120,35,0.48,PENDING,PENDING,0.0,PENDING
120,35,0.455,PENDING,PENDING,0.0,PENDING
120,35,0.43,PENDING,PENDING,0.0,PENDING
120,35,0.405,PENDING,PENDING,0.0,PENDING
120,35,0.38,PENDING,PENDING,0.0,PENDING
120,35,0.355,PENDING,PENDING,0.0,PENDING
120,35,0.33,PENDING,PENDING,0.0,PENDING
120,33,0.655,PENDING,PENDING,0.0,PENDING
120,33,0.63,PENDING,PENDING,0.0,PENDING
120,33,0.605,PENDING,PENDING,0.0,PENDING
120,33,0.58,PENDING,PENDING,0.0,PENDING
120,33,0.555,PENDING,PENDING,0.0,PENDING
120,33,0.53,PENDING,PENDING,0.0,PENDING
120,33,0.505,PENDING,PENDING,0.0,PENDING
120,33,0.48,PENDING,PENDING,0.0,PENDING
120,33,0.455,PENDING,PENDING,0.0,PENDING
120,33,0.43,PENDING,PENDING,0.0,PENDING
120,33,0.405,PENDING,PENDING,0.0,PENDING
120,33,0.38,PENDING,PENDING,0.0,PENDING
120,33,0.355,PENDING,PENDING,0.0,PENDING
120,33,0.33,PENDING,PENDING,0.0,PENDING
120,31,0.655,PENDING,PENDING,0.0,PENDING
120,31,0.63,PENDING,PENDING,0.0,PENDING
120,31,0.605,PENDING,PENDING,0.0,PENDING
120,31,0.58,PENDING,PENDING,0.0,PENDING
120,31,0.555,PENDING,PENDING,0.0,PENDING
120,31,0.53,PENDING,PENDING,0.0,PENDING
120,31,0.505,PENDING,PENDING,0.0,PENDING
120,31,0.48,PENDING,PENDING,0.0,PENDING
120,31,0.455,PENDING,PENDING,0.0,PENDING
120,31,0.43,PENDING,PENDING,0.0,PENDING
120,31,0.405,PENDING,PENDING,0.0,PENDING
120,31,0.38,PENDING,PENDING,0.0,PENDING
120,31,0.355,PENDING,PENDING,0.0,PENDING
120,31,0.33,PENDING,PENDING,0.0,PENDING
120,29,0.655,PENDING,PENDING,0.0,PENDING
120,29,0.63,PENDING,PENDING,0.0,PENDING
120,29,0.605,PENDING,PENDING,0.0,PENDING
120,29,0.58,PENDING,PENDING,0.0,PENDING
120,29,0.555,PENDING,PENDING,0.0,PENDING
120,29,0.53,PENDING,PENDING,0.0,PENDING
120,29,0.505,PENDING,PENDING,0.0,PENDING
120,29,0.48,PENDING,PENDING,0.0,PENDING
120,29,0.455,PENDING,PENDING,0.0,PENDING
120,29,0.43,PENDING,PENDING,0.0,PENDING
120,29,0.405,PENDING,PENDING,0.0,PENDING
120,29,0.38,PENDING,PENDING,0.0,PENDING
120,29,0.355,PENDING,PENDING,0.0,PENDING
120,29,0.33,PENDING,PENDING,0.0,PENDING
120,27,0.655,PENDING,PENDING,0.0,PENDING
120,27,0.63,PENDING,PENDING,0.0,PENDING
120,27,0.605,PENDING,PENDING,0.0,PENDING
120,27,0.58,PENDING,PENDING,0.0,PENDING
120,27,0.555,PENDING,PENDING,0.0,PENDING
120,27,0.53,PENDING,PENDING,0.0,PENDING
120,27,0.505,PENDING,PENDING,0.0,PENDING
120,27,0.48,PENDING,PENDING,0.0,PENDING
120,27,0.455,PENDING,PENDING,0.0,PENDING
120,27,0.43,PENDING,PENDING,0.0,PENDING
120,27,0.405,PENDING,PENDING,0.0,PENDING
120,27,0.38,PENDING,PENDING,0.0,PENDING
120,27,0.355,PENDING,PENDING,0.0,PENDING
120,27,0.33,PENDING,PENDING,0.0,PENDING
120,25,0.655,PENDING,PENDING,0.0,PENDING
120,25,0.63,PENDING,PENDING,0.0,PENDING
120,25,0.605,PENDING,PENDING,0.0,PENDING
120,25,0.58,PENDING,PENDING,0.0,PENDING
120,25,0.555,PENDING,PENDING,0.0,PENDING
120,25,0.53,PENDING,PENDING,0.0,PENDING
120,25,0.505,PENDING,PENDING,0.0,PENDING
120,25,0.48,PENDING,PENDING,0.0,PENDING
120,25,0.455,PENDING,PENDING,0.0,PENDING
120,25,0.43,PENDING,PENDING,0.0,PENDING
120,25,0.405,PENDING,PENDING,0.0,PENDING
120,25,0.38,PENDING,PENDING,0.0,PENDING
120,25,0.355,PENDING,PENDING,0.0,PENDING
120,25,0.33,PENDING,PENDING,0.0,PENDING
120,23,0.655,PENDING,PENDING,0.0,PENDING
120,23,0.63,PENDING,PENDING,0.0,PENDING
120,23,0.605,PENDING,PENDING,0.0,PENDING
120,23,0.58,PENDING,PENDING,0.0,PENDING
120,23,0.555,PENDING,PENDING,0.0,PENDING
120,23,0.53,PENDING,PENDING,0.0,PENDING
120,23,0.505,PENDING,PENDING,0.0,PENDING
120,23,0.48,PENDING,PENDING,0.0,PENDING
120,23,0.455,PENDING,PENDING,0.0,PENDING
120,23,0.43,PENDING,PENDING,0.0,PENDING
120,23,0.405,PENDING,PENDING,0.0,PENDING
120,23,0.38,PENDING,PENDING,0.0,PENDING
120,23,0.355,PENDING,PENDING,0.0,PENDING
120,23,0.33,PENDING,PENDING,0.0,PENDING
120,21,0.655,PENDING,PENDING,0.0,PENDING
120,21,0.63,PENDING,PENDING,0.0,PENDING
120,21,0.605,PENDING,PENDING,0.0,PENDING
120,21,0.58,PENDING,PENDING,0.0,PENDING
120,21,0.555,PENDING,PENDING,0.0,PENDING
120,21,0.53,PENDING,PENDING,0.0,PENDING
120,21,0.505,PENDING,PENDING,0.0,PENDING
120,21,0.48,PENDING,PENDING,0.0,PENDING
120,21,0.455,PENDING,PENDING,0.0,PENDING
120,21,0.43,PENDING,PENDING,0.0,PENDING
120,21,0.405,PENDING,PENDING,0.0,PENDING
120,21,0.38,PENDING,PENDING,0.0,PENDING
120,21,0.355,PENDING,PENDING,0.0,PENDING
120,21,0.33,PENDING,PENDING,0.0,PENDING
120,19,0.655,PENDING,PENDING,0.0,PENDING
120,19,0.63,PENDING,PENDING,0.0,PENDING
